kLink;kBend;viscosityRatio;model_uncertainty;likelihood
45.20129199872331;85.72014309551048;6.990902846685756;0.47616341078762353;536357.9152435546
38.66569843666152;89.47948321471388;7.28300618089082;0.47754519635087406;592571.9235014353
22.72182259296997;123.33498329114269;9.114186401820183;0.4917340791689614;510989.1610075639
23.424020293999455;123.7368538993705;9.14565508955988;0.48981636793713595;505448.136427415
23.034111143287;123.9138719293302;9.205951565723815;0.48753871976461677;505560.8772942512
30.654523265002748;121.7328414160059;8.796747633746913;0.5019010847654138;446160.58262118185
15.931818875130482;111.78130635041178;8.286723096043378;0.5084253674571525;628735.1700731913
15.931818875130482;111.78130635041178;8.286723096043378;0.5084253674571525;628735.1700731913
72.21310328986027;100.38655081658415;7.006416074699504;0.5347399841907441;213643.07532133392
72.94365803020476;93.69041740714015;6.425266076389564;0.5595337170180076;217288.20585217228
